,title,Unnamed: 0,Unnamed: 0.1,platform,score,genre,release_year,Dreamcast,"Game Boy (Color, Advance)",GameCube,Mobile,"Nintendo (DS, 3DS, DSi)",Nintendo 64,PC,"PlayStation (1, 2 ,3, 4)","PlayStation (Portable, Vita)",Wii (U),"Xbox (360, One)",iPad,Action,Adventure,Board,Card,Educational,Fighting,Hunting,Music,Party,Platformer,Puzzle,RPG,Racing,Shooter,Simulation,Sports,Strategy
7101,Pac-Man World 2,3880,4212,"Xbox (360, One)","(7, 8]",Platformer,2002,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7102,Pac-Man World 20th Anniversary,1570,1748,"PlayStation (1, 2 ,3, 4)","(7, 8]",Platformer,1999,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7103,Pac-Man World 3,7202,7763,"Xbox (360, One)","(6, 7]",Platformer,2006,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7104,Pac-Man's Arcade Corner,6533,7044,Mobile,"(6, 7]",Music,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7105,Pac-Man: Adventures in Time,2472,2722,PC,"(8, 9]",Platformer,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7106,Pac-Man: Championship Edition,14205,15456,"Xbox (360, One)","(8, 9]",Action,2011,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7107,Pac-Man: Special Color Edition,1373,1535,"Game Boy (Color, Advance)","(7, 8]",Action,1999,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7108,Pac-Mania 3D,6435,6936,Mobile,"(6, 7]",Action,2005,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7109,Pac-Match Party,13453,14657,Mobile,"(7, 8]",Puzzle,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7110,Pac-Match Party HD,13334,14536,iPad,"(7, 8]",Puzzle,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7111,Pac-Match!,6460,6961,Mobile,"(7, 8]",Puzzle,2005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7112,Pac-Pix,6295,6788,"Nintendo (DS, 3DS, DSi)","(7, 8]",Action,2005,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,Pacific Fighters,5805,6253,PC,"(7, 8]",Simulation,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7114,Pacific Rim,15714,17052,"Xbox (360, One)","(5, 6]",Action,2013,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7115,Pacific Storm,7825,8402,PC,"(7, 8]",Strategy,2006,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7116,Pacific Storm: Allies,10263,11165,PC,"(6, 7]",Strategy,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7117,Page Chronica,254,274,"PlayStation (1, 2 ,3, 4)","(4, 5]",Puzzle,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7118,Pain!,9544,10332,"PlayStation (1, 2 ,3, 4)","(6, 7]",Action,2007,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7119,Pain! Amusement Park,10629,11580,"PlayStation (1, 2 ,3, 4)","(6, 7]",Action,2008,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7120,Pain! Movie Studio,11004,12003,"PlayStation (1, 2 ,3, 4)","(5, 6]",Action,2008,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7121,Painkiller,5380,5797,PC,"(6, 7]",Shooter,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7122,Painkiller: Battle out of Hell,5865,6320,PC,"(7, 8]",Shooter,2004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7123,Painkiller: Hell & Damnation,218,235,PC,"(4, 5]",Shooter,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7124,Painkiller: Hell Wars,7464,8035,"Xbox (360, One)","(5, 6]",Shooter,2006,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7125,Painkiller: Overdose,9559,10348,PC,"(6, 7]",Shooter,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7126,Painkiller: Resurrection,12600,13762,PC,"(2, 3]",Shooter,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7127,Paint Splash,14769,16047,Wii (U),"(7, 8]",Simulation,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7128,Pallurikio,12889,14068,Wii (U),"(5, 6]",Action,2010,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129,Pandemonium,11783,12869,"PlayStation (1, 2 ,3, 4)","(6, 7]",Platformer,2009,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7130,Pandora's Box,1410,1577,PC,"(7, 8]",Puzzle,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7131,Pandora's Tower,15356,16670,Wii (U),"(6, 7]",Adventure,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7132,Pangya: Fantasy Golf,12013,13120,"PlayStation (Portable, Vita)","(7, 8]",Sports,2009,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7133,Panty Raider: From Here to Immaturity,2070,2288,PC,"(1, 2]",Puzzle,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7134,Panzer Command: Kharkov,9966,10822,PC,"(6, 7]",Strategy,2008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7135,Panzer Commander,837,883,PC,"(6, 7]",Simulation,1998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7136,Panzer Dragoon Orta,4254,4602,"Xbox (360, One)","(9, 10]",Shooter,2003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7137,Panzer Elite,1640,1824,PC,"(5, 6]",Simulation,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7138,Panzer General 3D Assault,1405,1569,PC,"(7, 8]",Strategy,1999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7139,Panzer General III: Scorched Earth,2218,2450,PC,"(7, 8]",Strategy,2000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7140,Panzer Tactics DS,9381,10153,"Nintendo (DS, 3DS, DSi)","(5, 6]",Strategy,2007,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7141,Papa Sangre,14190,15441,Mobile,"(8, 9]",Adventure,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7142,Paper Airplane Chase,11802,12889,"Nintendo (DS, 3DS, DSi)","(4, 5]",Action,2009,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7143,Paper Mario,8784,9479,Wii (U),"(8, 9]",RPG,2007,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
